sku,store,attribute_set,type,categories,name,description,short_description,image,small_image,thumbnail,price,weight,manufacturer,status,visibility,qty,is_in_stock,notify_stock_qty,manage_stock
370,admin,Default,simple,Bebidas/Infusiones,Surtido bienestar x 20 saquitos - Heredia,Surtido bienestar x 20 saquitos - Heredia,Surtido bienestar x 20 saquitos - Heredia,/1100x1100/P1040597.png,/360x360/M_P1040597.png,/80x80/S_P1040597.png,"57,10",.5,Heredia,1,"Catalo,Search",3,1,1,1
371,admin,Default,simple,Dulces/Snaks/Galletas,KOO! Butter Cookies Coco & Coco,KOO! Butter Cookies Coco & Coco,KOO! Butter Cookies Coco & Coco,/1100x1100/P1040596.png,/360x360/M_P1040596.png,/80x80/S_P1040596.png,"67,14",.5,KOO!,1,"Catalo,Search",5,1,1,1
372,admin,Default,simple,Dulces/Snaks/Galletas,KOO! Cantuccini c/chips de choco,KOO! Cantuccini c/chips de choco,KOO! Cantuccini c/chips de choco,/1100x1100/P1040595.png,/360x360/M_P1040595.png,/80x80/S_P1040595.png,"67,14",.5,KOO!,1,"Catalo,Search",5,1,1,1
373,admin,Default,simple,Dulces/Snaks/Galletas,KOO! Lata Butter Cookies French Vanilla,KOO! Lata Butter Cookies French Vanilla,KOO! Lata Butter Cookies French Vanilla,/1100x1100/P1040607.png,/360x360/M_P1040607.png,/80x80/S_P1040607.png,"139,07",.5,KOO!,1,"Catalo,Search",1,1,1,1
360,admin,Default,simple,Snaks,"Raíces, chips de remolacha y batata con sal marina - Raíces","Raíces, chips de remolacha y batata con sal marina - Raíces","Raíces, chips de remolacha y batata con sal marina - Raíces",/1100x1100/P1040584.png,/360x360/M_P1040584.png,/80x80/S_P1040584.png,"48,00",.8,Raíces,1,"Catalo,Search",10,1,1,1
390,admin,Default,simple,Pastas,Penne tricolor - Troncosso,Penne tricolor - Troncosso,Penne tricolor - Troncosso,/1100x1100/P1040582.png,/360x360/M_P1040582.png,/80x80/S_P1040582.png,"79,83",.5,Troncosso,1,"Catalo,Search",5,1,1,1
391,admin,Default,simple,Saludable,Granola Veganola- Zafrán,Granola Veganola- Zafrán,Granola Veganola- Zafrán,/1100x1100/P1040593.png,/360x360/M_P1040593.png,/80x80/S_P1040593.png,"168,24","1,00",Zafrán,1,"Catalo,Search",4,1,1,1
392,admin,Default,simple,Saludable,Barritas de manzana y chia x 12 unidades - Zafrán,Barritas de manzana y chia x 12 unidades - Zafrán,Barritas de manzana y chia x 12 unidades - Zafrán,/1100x1100/P1040606.png,/360x360/M_P1040606.png,/80x80/S_P1040606.png,"223,22",.5,Zafrán,1,"Catalo,Search",1,1,1,1
393,admin,Default,simple,Bebidas/Cervezas,Cerveza Golden Ale - BOHL,Cerveza Golden Ale - BOHL,Cerveza Golden Ale - BOHL,/1100x1100/P1040638.png,/360x360/M_P1040638.png,/80x80/S_P1040638.png,"99,99",.5,BOHL,1,"Catalo,Search",6,1,1,1
394,admin,Default,simple,Bebidas/Cervezas,Cerveza Stout - BOHL,Cerveza Stout - BOHL,Cerveza Stout - BOHL,/1100x1100/P1040646.png,/360x360/M_P1040646.png,/80x80/S_P1040646.png,"99,99",.5,BOHL,1,"Catalo,Search",6,1,1,1
395,admin,Default,simple,Bebidas/Cervezas,Cerveza Reina (miel) - BOHL,Cerveza Reina (miel) - BOHL,Cerveza Reina (miel) - BOHL,/1100x1100/P1040643.png,/360x360/M_P1040643.png,/80x80/S_P1040643.png,"104,19",.5,BOHL,1,"Catalo,Search",6,1,1,1
396,admin,Default,simple,Bebidas/Cervezas,Cerveza Smoked - BOHL,Cerveza Smoked - BOHL,Cerveza Smoked - BOHL,/1100x1100/P1040655.png,/360x360/M_P1040655.png,/80x80/S_P1040655.png,"103,66",.5,BOJ,1,"Catalo,Search",6,1,1,1
397,admin,Default,simple,Bebidas/Cervezas,Cerveza Kolsh - Antares,Cerveza Kolsh - Antares,Cerveza Kolsh - Antares,/1100x1100/P1040636.png,/360x360/M_P1040636.png,/80x80/S_P1040636.png,"86,21",.5,Antares,1,"Catalo,Search",12,1,1,1
